utc,family,ticker,side,target,ref,qual_score,qual_size,levels,book_depth,share_at_20
2026-09-07T08:07:47+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,yes,1000,0.1200,1120.00,1120.00,2,5483.00,0.01754
2026-09-07T08:07:47+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,no,1000,0.7300,490.00,1240.00,3,7074.00,0.03922
2026-09-07T08:08:48+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070415-15,yes,300,0.8400,106.17,2356.70,6,16079.16,0.15852
2026-09-07T08:08:48+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070415-15,no,300,0.1200,217.44,695.30,7,11453.16,0.08423
2026-09-07T08:08:48+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070415-15,yes,300,0.0200,2293.00,2293.00,1,3663.43,0.00865
2026-09-07T08:08:48+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070415-15,no,300,0.9700,1227.40,2267.40,2,15612.99,0.01603
2026-09-07T08:08:48+00:00,KXSILVER15M,KXSILVER15M-26SEP070415-15,yes,300,0.2200,688.25,2347.00,3,36210.03,0.02824
2026-09-07T08:08:48+00:00,KXSILVER15M,KXSILVER15M-26SEP070415-15,no,300,0.7600,2253.00,2253.00,2,36057.50,0.00880
2026-09-07T08:08:48+00:00,KXWTI15M,KXWTI15M-26SEP070415-15,yes,300,0.1700,603.05,967.10,2,41799.79,0.03210
2026-09-07T08:08:48+00:00,KXWTI15M,KXWTI15M-26SEP070415-15,no,300,0.8100,2225.00,2225.00,1,44254.56,0.00891
2026-09-07T08:08:48+00:00,KXGOLD15M,KXGOLD15M-26SEP070415-15,yes,300,0.9100,732.50,1366.00,4,23924.86,0.02658
2026-09-07T08:08:48+00:00,KXGOLD15M,KXGOLD15M-26SEP070415-15,no,300,0.0860,360.25,778.00,3,168232.90,0.05260
2026-09-07T08:08:48+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,yes,1000,0.2100,1252.00,1252.00,3,4855.00,0.01572
2026-09-07T08:08:48+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,no,1000,0.6300,740.00,1240.00,3,7074.00,0.02632
2026-09-07T08:09:49+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070415-15,yes,300,0.5100,96.63,2279.10,10,16790.61,0.17148
2026-09-07T08:09:49+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070415-15,no,300,0.3900,165.19,338.00,6,14972.96,0.10800
2026-09-07T08:09:49+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070415-15,yes,300,0.0100,3378.69,3378.69,1,3378.69,0.00588
2026-09-07T08:09:49+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070415-15,no,300,0.9800,1134.00,2154.00,2,16559.97,0.01733
2026-09-07T08:09:49+00:00,KXSILVER15M,KXSILVER15M-26SEP070415-15,yes,300,0.1500,1264.00,2354.00,2,31366.69,0.01558
2026-09-07T08:09:49+00:00,KXSILVER15M,KXSILVER15M-26SEP070415-15,no,300,0.8200,2407.00,2407.00,1,35316.30,0.00824
2026-09-07T08:09:49+00:00,KXWTI15M,KXWTI15M-26SEP070415-15,yes,300,0.0300,622.84,622.84,2,19888.44,0.03111
2026-09-07T08:09:49+00:00,KXWTI15M,KXWTI15M-26SEP070415-15,no,300,0.9590,250.00,375.00,2,43740.00,0.07407
2026-09-07T08:09:49+00:00,KXGOLD15M,KXGOLD15M-26SEP070415-15,yes,300,0.9560,228.62,541.00,3,28680.86,0.08044
2026-09-07T08:09:49+00:00,KXGOLD15M,KXGOLD15M-26SEP070415-15,no,300,0.0410,1267.00,1267.00,1,154915.11,0.01554
2026-09-07T08:09:49+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,yes,1000,0.1400,1003.00,1003.00,2,4863.00,0.01955
2026-09-07T08:09:49+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,no,1000,0.7500,274.10,1355.59,5,8034.59,0.06800
2026-09-07T08:10:50+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070415-15,yes,300,0.6100,105.66,359.70,10,16230.11,0.15915
2026-09-07T08:10:50+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070415-15,no,300,0.3100,65.65,2242.20,9,14954.40,0.23350
2026-09-07T08:10:50+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070415-15,yes,300,0.0100,639.59,639.59,1,639.59,0.03032
2026-09-07T08:10:50+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070415-15,no,300,0.9800,187.62,466.48,3,13777.56,0.09633
2026-09-07T08:10:50+00:00,KXSILVER15M,KXSILVER15M-26SEP070415-15,yes,300,0.0540,2102.00,2102.00,2,23232.37,0.00943
2026-09-07T08:10:50+00:00,KXSILVER15M,KXSILVER15M-26SEP070415-15,no,300,0.9320,116.56,2234.00,3,35375.33,0.14645
2026-09-07T08:10:50+00:00,KXWTI15M,KXWTI15M-26SEP070415-15,yes,300,0.0290,320.50,365.00,2,19549.78,0.05874
2026-09-07T08:10:50+00:00,KXWTI15M,KXWTI15M-26SEP070415-15,no,300,0.9590,495.00,2395.00,5,42393.31,0.03883
2026-09-07T08:10:50+00:00,KXGOLD15M,KXGOLD15M-26SEP070415-15,yes,300,0.9670,918.00,918.00,2,29235.60,0.02132
2026-09-07T08:10:50+00:00,KXGOLD15M,KXGOLD15M-26SEP070415-15,no,300,0.0310,613.25,1760.00,3,147372.41,0.03158
2026-09-07T08:10:50+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,yes,1000,0.0400,1000.00,1000.00,1,2123.00,0.01961
2026-09-07T08:10:50+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,no,1000,0.8300,322.00,1372.00,4,4790.59,0.05848
2026-09-07T08:11:52+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070415-15,yes,300,0.7400,181.55,311.70,4,16909.21,0.09923
2026-09-07T08:11:52+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070415-15,no,300,0.2000,120.70,2234.10,5,15960.26,0.14215
2026-09-07T08:11:52+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070415-15,yes,300,0.0100,639.59,639.59,1,639.59,0.03032
2026-09-07T08:11:52+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070415-15,no,300,0.9800,158.47,440.18,3,13715.16,0.11206
2026-09-07T08:11:52+00:00,KXSILVER15M,KXSILVER15M-26SEP070415-15,yes,300,0.0870,2100.00,2100.00,1,27289.68,0.00943
2026-09-07T08:11:52+00:00,KXSILVER15M,KXSILVER15M-26SEP070415-15,no,300,0.9000,447.22,2449.75,5,36419.19,0.04281
2026-09-07T08:11:52+00:00,KXWTI15M,KXWTI15M-26SEP070415-15,yes,300,0.0150,323.00,323.00,1,19145.42,0.05831
2026-09-07T08:11:52+00:00,KXWTI15M,KXWTI15M-26SEP070415-15,no,300,0.9820,281.00,716.00,3,47057.68,0.06645
2026-09-07T08:11:52+00:00,KXGOLD15M,KXGOLD15M-26SEP070415-15,yes,300,0.9840,138.50,360.00,4,29557.99,0.12618
2026-09-07T08:11:52+00:00,KXGOLD15M,KXGOLD15M-26SEP070415-15,no,300,0.0130,814.15,814.15,1,144492.95,0.02398
2026-09-07T08:11:52+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,yes,1000,0.0100,5015.00,5015.00,2,5015.00,0.00397
2026-09-07T08:11:52+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,no,1000,0.9100,270.03,1397.00,6,4094.59,0.06896
2026-09-07T08:12:53+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070415-15,yes,300,0.2000,103.39,479.68,3,12474.55,0.16209
2026-09-07T08:12:53+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070415-15,no,300,0.7600,92.74,2351.00,7,14738.84,0.17740
2026-09-07T08:12:53+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070415-15,yes,300,0.0200,2235.30,2235.30,1,2404.89,0.00887
2026-09-07T08:12:53+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070415-15,no,300,0.9700,1467.24,2672.48,2,15850.06,0.01345
2026-09-07T08:12:53+00:00,KXSILVER15M,KXSILVER15M-26SEP070415-15,yes,300,0.3000,383.25,2368.00,3,33202.50,0.04960
